epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1104,2.53199,6.95976,1.53247,0.00233,1,0.00421,0.0017,1.9159,4.79394,1.1379,0.00016,0.00016,0.00016
2,31.0678,1.58244,4.11379,1.15995,0.00217,0.92857,0.00554,0.00325,1.29318,4.19067,1.01905,0.000333268,0.000333268,0.000333268
3,45.4801,1.51542,3.41627,1.18337,0.00217,0.92857,0.00518,0.00258,1.74132,4.29452,1.16453,0.000499408,0.000499408,0.000499408
4,59.8582,1.52213,2.71572,1.15811,0.00217,0.92857,0.00415,0.00125,1.55828,4.61048,1.22116,0.00065842,0.00065842,0.00065842
5,73.9377,1.42593,2.76419,1.1777,0.00217,0.92857,0.0047,0.00133,1.97221,4.84743,1.32131,0.000810304,0.000810304,0.000810304
6,88.4714,1.38448,2.64413,1.1843,0.00217,0.92857,0.00602,0.00185,1.59071,4.55234,1.20505,0.00095506,0.00095506,0.00095506
7,103.201,1.46762,2.43861,1.14286,0.00233,1,0.00631,0.00243,1.76667,4.6245,1.20513,0.00109269,0.00109269,0.00109269
8,117.713,1.40498,2.09843,1.1456,0.00233,1,0.07919,0.03177,1.76672,4.20957,1.25836,0.00122319,0.00122319,0.00122319
9,133.81,1.34404,1.95161,1.16213,0.97605,0.14286,0.14909,0.07793,1.63711,3.89077,1.24541,0.00134656,0.00134656,0.00134656
10,153.423,1.42094,1.85042,1.18438,1,0.12269,0.15175,0.08009,1.56417,3.73473,1.23067,0.0014628,0.0014628,0.0014628
11,171.492,1.36537,1.99654,1.17673,1,0.12671,0.40805,0.21712,1.68941,3.53623,1.28194,0.00157192,0.00157192,0.00157192
12,188.286,1.43285,1.90798,1.11757,1,0.322,0.42721,0.23544,1.7418,3.48908,1.31995,0.0015644,0.0015644,0.0015644
13,204.921,1.24863,1.65799,1.09992,1,0.48881,0.68012,0.4162,1.65931,2.82864,1.25902,0.0015248,0.0015248,0.0015248
14,222.255,1.3103,1.73241,1.1458,1,0.42334,0.70956,0.44513,1.60295,2.84718,1.23291,0.0014852,0.0014852,0.0014852
15,239.217,1.49232,2.00224,1.23731,1,0.55179,0.81866,0.39771,1.66128,2.44481,1.28408,0.0014456,0.0014456,0.0014456
16,256.004,1.26586,1.54823,1.15623,1,0.68518,0.86521,0.44739,1.49512,2.30351,1.2031,0.001406,0.001406,0.001406
17,275.401,1.37951,1.8488,1.16241,1,0.56831,0.78333,0.407,1.5229,2.62298,1.18836,0.0013664,0.0013664,0.0013664
18,292.088,1.28824,1.66801,1.14066,1,0.84397,0.94722,0.51737,1.43505,1.66472,1.1805,0.0013268,0.0013268,0.0013268
19,309.441,1.2959,1.54369,1.07278,0.71413,0.92857,0.8771,0.51533,1.30869,1.65315,1.12558,0.0012872,0.0012872,0.0012872
20,326.407,1.25548,1.49014,1.10308,0.74369,0.92857,0.88373,0.53202,1.25252,1.59107,1.12222,0.0012476,0.0012476,0.0012476
21,342.176,1.23555,1.38438,1.13106,0.74881,0.85206,0.90281,0.50126,1.30678,1.60637,1.13796,0.001208,0.001208,0.001208
22,358.763,1.22302,1.3717,1.06893,0.81079,0.78571,0.87563,0.48603,1.43454,1.70092,1.17646,0.0011684,0.0011684,0.0011684
23,373.586,1.34722,1.43763,1.14011,0.8947,0.78571,0.87591,0.54043,1.17927,1.64035,1.11629,0.0011288,0.0011288,0.0011288
24,389.201,1.32272,1.4702,1.12083,0.92157,0.8404,0.89509,0.54427,1.28927,1.42814,1.12505,0.0010892,0.0010892,0.0010892
25,403.719,1.2565,1.30899,1.09194,0.92126,0.8369,0.8934,0.52257,1.38382,1.41945,1.15624,0.0010496,0.0010496,0.0010496
26,419.014,1.16755,1.22389,1.09127,0.79468,0.92857,0.89757,0.5421,1.35272,1.44361,1.1232,0.00101,0.00101,0.00101
27,433.511,1.24703,1.30573,1.09128,0.83377,0.78571,0.88893,0.48749,1.4685,1.6563,1.16877,0.0009704,0.0009704,0.0009704
28,448.151,1.07786,1.23449,1.03235,0.88854,0.78571,0.87774,0.48197,1.47584,1.58203,1.1865,0.0009308,0.0009308,0.0009308
29,462.478,1.14421,1.19274,1.08453,0.90481,0.78571,0.89561,0.54598,1.34569,1.49162,1.1572,0.0008912,0.0008912,0.0008912
30,477.571,1.13436,1.23385,1.06711,0.97651,0.78571,0.91917,0.5463,1.38556,1.47698,1.17113,0.0008516,0.0008516,0.0008516
31,492.356,1.20838,1.20668,1.15516,0.91357,0.78571,0.92411,0.49768,1.4447,1.51068,1.18335,0.000812,0.000812,0.000812
32,508.335,1.07988,1.18151,1.01379,0.92276,0.85358,0.91648,0.51569,1.42132,1.44568,1.16501,0.0007724,0.0007724,0.0007724
33,522.878,1.14383,1.08312,1.08719,0.92278,0.85382,0.93146,0.52825,1.37083,1.3952,1.14981,0.0007328,0.0007328,0.0007328
34,537.932,1.10317,1.05594,1.06184,0.92257,0.85146,0.93576,0.53457,1.38746,1.3828,1.1528,0.0006932,0.0006932,0.0006932
35,553.269,1.17236,1.13768,1.10362,0.92845,0.92857,0.94586,0.49858,1.4856,1.3309,1.17716,0.0006536,0.0006536,0.0006536
36,569.429,1.13315,1.06959,1.0477,0.92732,0.91226,0.96765,0.56328,1.24948,1.16199,1.11884,0.000614,0.000614,0.000614
37,584.305,1.13786,1.1619,1.05153,0.92979,0.94687,0.97633,0.58262,1.21596,1.15817,1.1121,0.0005744,0.0005744,0.0005744
38,599.357,1.02711,1.07202,0.99132,0.93144,0.97161,0.97633,0.56444,1.25583,1.16309,1.10927,0.0005348,0.0005348,0.0005348
39,613.763,1.13684,1.03885,1.03632,0.92779,0.91844,0.96265,0.55711,1.34167,1.17806,1.12796,0.0004952,0.0004952,0.0004952
40,628.815,1.17105,1.10725,1.03059,0.92751,0.91478,0.96265,0.55042,1.40316,1.19629,1.15708,0.0004556,0.0004556,0.0004556
41,643.545,1.1273,1.36229,1.08937,0.86817,0.94147,0.96125,0.54737,1.39398,1.21411,1.15327,0.000416,0.000416,0.000416
42,659.039,1.11928,1.39198,1.11386,0.86682,0.92988,0.96625,0.54935,1.34307,1.23941,1.13553,0.0003764,0.0003764,0.0003764
43,673.483,1.08015,1.33995,1.141,0.90851,0.85714,0.95555,0.56112,1.2686,1.21357,1.11791,0.0003368,0.0003368,0.0003368
44,688.152,1.11021,1.31318,1.13729,0.96167,0.85714,0.96632,0.54193,1.29522,1.20546,1.12163,0.0002972,0.0002972,0.0002972
45,702.232,1.02932,1.2039,1.06949,0.98603,0.85714,0.96345,0.54611,1.35124,1.17473,1.13303,0.0002576,0.0002576,0.0002576
46,716.465,1.06104,1.2475,1.1353,0.98499,0.85714,0.96087,0.5557,1.39856,1.16283,1.15122,0.000218,0.000218,0.000218
47,730.63,0.99404,1.14851,1.01887,0.98563,0.85714,0.96087,0.5489,1.41987,1.1663,1.15875,0.0001784,0.0001784,0.0001784
48,744.902,1.00589,1.25271,1.00978,1,0.8478,0.96087,0.5353,1.44037,1.16429,1.16658,0.0001388,0.0001388,0.0001388
49,759.067,1.02779,1.23888,1.05276,0.86331,0.90337,0.95928,0.53228,1.43784,1.16459,1.16673,9.92e-05,9.92e-05,9.92e-05
